ReportID,SalesPersonID,ProductID,Quantity,TotalSalesValue
Rep70101,C21844,PR6483,102,1115
Rep70102,C21844,PR6251,102,1050
Rep70103,C21844,PR6253,344,3490
Rep70104,C21844,PR6378,108,1095
Rep70105,C21844,PR6463,146,1055
Rep70106,C21844,PR6112,238,1495
Rep70107,C21844,PR6463,177,1090
Rep70108,C21844,PR6378,108,1095
Rep70109,C21844,PR6253,107,1015
Rep70110,C21844,PR6458,100,1040
Rep70111,C21844,PR6458,100,1040
Rep70112,C21844,PR6463,177,1090
Rep70113,C21844,PR6483,102,1115
Rep70114,C21844,PR6112,238,1495
Rep70115,C21844,PR6378,108,1095
Rep70116,C21844,PR6320,153,5020
Rep70117,C21844,PR6112,238,1495
Rep70118,C21844,PR6378,108,1095
Rep70119,C21844,PR6112,238,1495
Rep70120,C21844,PR6463,102,1030
Rep70121,C21844,PR6483,102,1115
Rep70122,C21844,PR6320,250,2625
Rep70123,C21844,PR6251,102,1050
Rep70124,C21844,PR6251,102,1050
Rep70125,C21844,PR6320,186,1975
Rep70126,C21844,PR6483,102,1115
Rep70127,C21844,PR6458,100,1040
Rep70128,C21844,PR6463,177,1090
Rep70129,C21844,PR6458,100,1040
Rep70130,C21844,PR6251,102,1050
Rep70131,C21840,PR6115,544,2325
Rep70132,C21840,PR6115,344,2060
Rep70133,C21840,PR6632,144,1140
Rep70134,C21840,PR6115,344,2060
Rep70135,C21840,PR6124,377,4625
Rep70136,C21840,PR6231,303,2810
Rep70137,C21840,PR6231,2322,11845
Rep70138,C21840,PR6238,100,1055
Rep70139,C21840,PR6119,5491,46910
Rep70140,C21840,PR6230,106,1065
Rep70141,C21840,PR6120,1955,12445
Rep70142,C21840,PR6231,368,1760
Rep70143,C21840,PR6230,791,6870
Rep70144,C21840,PR6231,1433,8590
Rep70145,C21840,PR6124,377,4625
Rep70146,C21840,PR6115,4633,24270
Rep70147,C21840,PR6119,211,1555
Rep70148,C21840,PR6124,377,4625
Rep70149,C21840,PR6248,102,1260
Rep70150,C21840,PR6633,367,10090
Rep70151,C21840,PR6120,961,4060
Rep70152,C21840,PR6120,3822,17625
Rep70153,C21840,PR6124,377,4625
Rep70154,C21840,PR6120,655,3025
Rep70155,C21840,PR6120,3816,20740
Rep70156,C21840,PR6115,16522,102430
Rep70157,C21840,PR6241,170,1120
Rep70158,C21840,PR6165,111,1120
Rep70159,C21840,PR6633,143,9835
Rep70160,C21840,PR6241,332,1750
Rep70161,C21840,PR6120,1766,8380
Rep70162,C21840,PR6119,750,4050
Rep70163,C21840,PR6115,8308,48705
Rep70164,C21840,PR6395,126,1125
Rep70165,C21840,PR6241,107,1200
Rep70166,C21840,PR6115,8308,48705
Rep70167,C21840,PR6231,443,2015
Rep70168,C21840,PR6115,594,3415
Rep70169,C21840,PR6119,5344,42835
Rep70170,C21840,PR6115,6411,24645
Rep70171,C21840,PR6632,101,1075
Rep70172,C21840,PR6115,655,2655
Rep70173,C21840,PR6115,655,2655
Rep70174,C21840,PR6119,3333,19600
Rep70175,C21840,PR6235,112,2415
